n_boletim;_;dia;_;n_dia;_;dados_medidos;_;_;confirmados;_;descartados;_;_;internados;_;obitosEmInvestigacao;_;obitosConfirmados;_;_;sindromeGripalAc;_;sindromeGripalIns;_;_;MM_14D_confirmados;_;MM_14D_obitosConfirmados;_;_;MM_14D_SG_Ac;_;MM_14D_internados;_;_;TC_30D_confirmados;_;TC_30D_SG_Ac;_;_;TC_30D_e_MM_14D_confirmados;_;TC_30D_e_MM_14D_SG_Ac;_;_;R_MMSGAc_MMconfirmados;_;R_MMconfirmados_MMobitos
295;;22/02/2021;;344;;true;;;9869;;26705;;;78;;0;;133;;;42653;;2211;;;9830;;130;;;43061;;74;;;106;;340;;;103;;342;;;4,4;;75,6
296;;23/02/2021;;345;;true;;;9999;;26928;;;78;;0;;133;;;42825;;2233;;;9929;;131;;;43440;;75;;;106;;346;;;103;;340;;;4,4;;75,8
297;;24/02/2021;;346;;true;;;10105;;27041;;;77;;0;;135;;;43024;;2269;;;10033;;133;;;43818;;76;;;106;;298;;;103;;339;;;4,4;;75,4
298;;25/02/2021;;347;;true;;;10163;;27183;;;73;;0;;135;;;43214;;2337;;;10134;;135;;;44222;;78;;;106;;298;;;102;;338;;;4,4;;75,1
299;;26/02/2021;;348;;true;;;10238;;27327;;;76;;0;;137;;;43348;;2351;;;10237;;137;;;44627;;80;;;105;;295;;;101;;335;;;4,4;;74,7
299,3;;27/02/2021;;349;;false;;;10282;;27403;;;81;;0;;137;;;44289;;2612;;;10275;;137;;;44764;;80;;;105;;317;;;101;;334;;;4,4;;74,7
299,7;;28/02/2021;;350;;false;;;10327;;27479;;;86;;0;;137;;;45231;;2873;;;10313;;138;;;44901;;81;;;105;;339;;;101;;333;;;4,4;;74,7
300;;01/03/2021;;351;;true;;;10372;;27556;;;91;;0;;137;;;46173;;3135;;;10351;;139;;;45038;;82;;;106;;362;;;101;;333;;;4,4;;74,5
301;;02/03/2021;;352;;true;;;10461;;27670;;;77;;0;;141;;;46359;;3134;;;10472;;141;;;45453;;83;;;106;;351;;;101;;331;;;4,3;;74,3
302;;03/03/2021;;353;;true;;;10545;;27802;;;78;;0;;142;;;46511;;3014;;;10597;;144;;;45912;;85;;;102;;349;;;101;;331;;;4,3;;73,6
303;;04/03/2021;;354;;true;;;10584;;27864;;;91;;0;;143;;;46792;;3085;;;10729;;146;;;46378;;88;;;97;;350;;;101;;331;;;4,3;;73,5
304;;05/03/2021;;355;;true;;;10733;;28067;;;91;;0;;143;;;46927;;2995;;;10875;;148;;;46851;;90;;;95;;346;;;102;;331;;;4,3;;73,5
304,3;;06/03/2021;;356;;false;;;10763;;28114;;;91;;0;;146;;;47160;;2984;;;10893;;148;;;46942;;90;;;94;;348;;;101;;332;;;4,3;;73,5
304,7;;07/03/2021;;357;;false;;;10793;;28161;;;92;;0;;149;;;47393;;2973;;;10911;;148;;;47033;;90;;;93;;351;;;101;;333;;;4,3;;73,5
305;;08/03/2021;;358;;true;;;10824;;28208;;;93;;1;;152;;;47626;;2962;;;10930;;149;;;47124;;91;;;92;;354;;;101;;334;;;4,3;;73,4
306;;09/03/2021;;359;;true;;;10985;;28329;;;96;;2;;153;;;47816;;2973;;;10989;;150;;;47425;;92;;;94;;316;;;101;;336;;;4,3;;73,3
307;;10/03/2021;;360;;true;;;11191;;28485;;;100;;0;;156;;;48051;;2910;;;11052;;152;;;47764;;94;;;98;;316;;;101;;340;;;4,3;;72,7
308;;11/03/2021;;361;;true;;;11372;;28621;;;90;;0;;161;;;48263;;2868;;;11114;;153;;;47909;;94;;;99;;316;;;100;;338;;;4,3;;72,6
309;;12/03/2021;;362;;true;;;11522;;28777;;;100;;0;;163;;;49101;;3494;;;11179;;154;;;48064;;96;;;99;;338;;;100;;337;;;4,3;;72,6
309,3;;13/03/2021;;363;;false;;;11632;;28840;;;103;;0;;164;;;49281;;2961;;;11202;;154;;;48121;;96;;;102;;339;;;100;;336;;;4,3;;72,6
309,7;;14/03/2021;;364;;false;;;11742;;28904;;;106;;0;;165;;;49461;;2428;;;11226;;155;;;48179;;97;;;105;;340;;;100;;335;;;4,3;;72,6
310;;15/03/2021;;365;;true;;;11853;;28968;;;110;;0;;166;;;49642;;1895;;;11250;;156;;;48237;;98;;;108;;342;;;100;;335;;;4,3;;72,1
311;;16/03/2021;;366;;true;;;12186;;29205;;;113;;2;;168;;;49918;;1964;;;11333;;157;;;48418;;99;;;118;;343;;;100;;333;;;4,3;;72,2
